--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.003  000.003: --- NVIM STARTING ---
000.203  000.200: event init
000.299  000.096: early init
000.509  000.210: locale set
000.563  000.054: init first window
000.913  000.350: inits 1
000.935  000.022: window checked
000.939  000.004: parsing arguments
001.456  000.038  000.038: require('vim.shared')
001.539  000.033  000.033: require('vim.inspect')
001.586  000.040  000.040: require('vim._options')
001.590  000.131  000.058: require('vim._editor')
001.591  000.200  000.031: require('vim._init_packages')
001.592  000.454: init lua interpreter
001.648  000.056: expanding arguments
001.674  000.026: inits 2
001.892  000.218: init highlight
001.909  000.017: clear screen
002.040  000.017  000.017: require('vim.keymap')
002.713  000.108  000.108: sourcing nvim_exec2()
002.812  000.901  000.776: require('vim._defaults')
002.814  000.003: init default mappings & autocommands
003.305  000.038  000.038: sourcing /opt/nvim-linux-x86_64/share/nvim/runtime/ftplugin.vim
003.361  000.022  000.022: sourcing /opt/nvim-linux-x86_64/share/nvim/runtime/indent.vim
003.682  000.241  000.241: require('config.options')
004.528  000.426  000.426: require('lazy')
004.554  000.014  000.014: require('ffi')
004.639  000.016  000.016: require('vim.fs')
004.727  000.087  000.087: require('vim.uri')
004.740  000.183  000.080: require('vim.loader')
004.869  000.115  000.115: require('lazy.stats')
004.971  000.086  000.086: require('lazy.core.util')
005.077  000.104  000.104: require('lazy.core.config')
005.219  000.050  000.050: require('lazy.core.handler')
005.426  000.068  000.068: require('lazy.pkg')
005.430  000.146  000.078: require('lazy.core.meta')
005.437  000.216  000.071: require('lazy.core.plugin')
005.444  000.365  000.099: require('lazy.core.loader')
006.219  000.099  000.099: require('lazy.async')
006.305  000.039  000.039: require('lazy.manage.process')
006.343  000.036  000.036: require('lazy.terminal')
006.346  000.125  000.050: require('lazy.manage.task')
006.348  000.324  000.100: require('lazy.manage.runner')
006.350  000.417  000.093: require('lazy.manage')
006.351  000.493  000.076: require('lazy.view.commands')
006.456  000.090  000.090: require('lazy.core.fragments')
008.445  000.055  000.055: require('lazy.core.handler.cmd')
008.503  000.055  000.055: require('lazy.core.handler.event')
008.560  000.055  000.055: require('lazy.core.handler.ft')
008.629  000.067  000.067: require('lazy.core.handler.keys')
009.114  000.106  000.106: sourcing nvim_exec2() called at /opt/nvim-linux-x86_64/share/nvim/runtime/filetype.lua:0
009.117  000.166  000.060: sourcing /opt/nvim-linux-x86_64/share/nvim/runtime/filetype.lua
009.120  000.190  000.024: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
009.344  000.016  000.016: sourcing /home/ususstudios/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
009.351  000.044  000.028: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
009.355  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
009.362  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
